,Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
0,2005-06,21.0,CLE,NBA,SF,13.0,13.0,604.0,146.0,307.0,0.476,21.0,63.0,0.333,125.0,244.0,0.512,0.51,87.0,118.0,0.737,22.0,83.0,105.0,76.0,18.0,9.0,65.0,44.0,400.0,,2.0
1,2006-07,22.0,CLE,NBA,SF,20.0,20.0,893.0,166.0,399.0,0.416,21.0,75.0,0.28,145.0,324.0,0.448,0.442,148.0,196.0,0.755,26.0,135.0,161.0,159.0,34.0,10.0,66.0,40.0,501.0,,0.0
2,2007-08,23.0,CLE,NBA,SF,13.0,13.0,552.0,113.0,275.0,0.411,18.0,70.0,0.257,95.0,205.0,0.463,0.444,122.0,167.0,0.731,16.0,86.0,102.0,99.0,23.0,17.0,54.0,33.0,366.0,,1.0
3,2008-09,24.0,CLE,NBA,SF,14.0,14.0,580.0,159.0,312.0,0.51,27.0,81.0,0.333,132.0,231.0,0.571,0.553,149.0,199.0,0.749,19.0,109.0,128.0,102.0,23.0,12.0,38.0,30.0,494.0,,1.0
4,2009-10,25.0,CLE,NBA,SF,11.0,11.0,460.0,106.0,211.0,0.502,20.0,50.0,0.4,86.0,161.0,0.534,0.55,88.0,120.0,0.733,15.0,87.0,102.0,84.0,19.0,20.0,42.0,23.0,320.0,,2.0
5,2010-11,26.0,MIA,NBA,SF,21.0,21.0,922.0,174.0,373.0,0.466,30.0,85.0,0.353,144.0,288.0,0.5,0.507,119.0,156.0,0.763,34.0,142.0,176.0,123.0,35.0,25.0,66.0,56.0,497.0,,1.0
6,2011-12,27.0,MIA,NBA,SF,23.0,23.0,983.0,251.0,502.0,0.5,22.0,85.0,0.259,229.0,417.0,0.549,0.522,173.0,234.0,0.739,54.0,170.0,224.0,129.0,43.0,16.0,81.0,47.0,697.0,,1.0
7,2012-13,28.0,MIA,NBA,PF,23.0,23.0,960.0,212.0,432.0,0.491,36.0,96.0,0.375,176.0,336.0,0.524,0.532,136.0,175.0,0.777,37.0,156.0,193.0,152.0,41.0,18.0,70.0,43.0,596.0,,3.0
8,2013-14,29.0,MIA,NBA,PF,20.0,20.0,763.0,192.0,340.0,0.565,35.0,86.0,0.407,157.0,254.0,0.618,0.616,129.0,160.0,0.806,14.0,127.0,141.0,95.0,36.0,11.0,61.0,46.0,548.0,,0.0
9,2014-15,30.0,CLE,NBA,SF,20.0,20.0,844.0,227.0,544.0,0.417,25.0,110.0,0.227,202.0,434.0,0.465,0.44,122.0,167.0,0.731,37.0,189.0,226.0,169.0,33.0,21.0,82.0,58.0,601.0,,3.0
10,2015-16,31.0,CLE,NBA,SF,21.0,21.0,822.0,219.0,417.0,0.525,32.0,94.0,0.34,187.0,323.0,0.579,0.564,82.0,124.0,0.661,42.0,158.0,200.0,160.0,49.0,27.0,75.0,54.0,552.0,,2.0
11,2016-17,32.0,CLE,NBA,SF,18.0,18.0,744.0,217.0,384.0,0.565,44.0,107.0,0.411,173.0,277.0,0.625,0.622,113.0,162.0,0.698,19.0,145.0,164.0,141.0,35.0,23.0,72.0,43.0,591.0,,3.0
12,2017-18,33.0,CLE,NBA,PF,22.0,22.0,922.0,275.0,510.0,0.539,39.0,114.0,0.342,236.0,396.0,0.596,0.577,159.0,213.0,0.746,31.0,169.0,200.0,198.0,30.0,23.0,94.0,52.0,748.0,,4.0
13,2019-20,35.0,LAL,NBA,PG,21.0,21.0,762.0,214.0,382.0,0.56,44.0,119.0,0.37,170.0,263.0,0.646,0.618,108.0,150.0,0.72,28.0,198.0,226.0,184.0,26.0,18.0,84.0,40.0,580.0,,5.0
14,2020-21,36.0,LAL,NBA,PG,6.0,6.0,224.0,54.0,114.0,0.474,18.0,48.0,0.375,36.0,66.0,0.545,0.553,14.0,23.0,0.609,7.0,36.0,43.0,48.0,9.0,2.0,25.0,7.0,140.0,,0.0
15,Career,,,NBA,,266.0,266.0,11035.0,2725.0,5502.0,0.495,432.0,1283.0,0.337,2293.0,4219.0,0.543,0.535,1749.0,2364.0,0.74,401.0,1990.0,2391.0,1919.0,454.0,252.0,975.0,616.0,7631.0,,28.0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9 seasons,,CLE,NBA,,152.0,152.0,6421.0,1628.0,3359.0,0.485,247.0,764.0,0.323,1381.0,2595.0,0.532,0.521,1070.0,1466.0,0.73,227.0,1161.0,1388.0,1188.0,264.0,162.0,588.0,377.0,4573.0,,18.0
18,4 seasons,,MIA,NBA,,87.0,87.0,3628.0,829.0,1647.0,0.503,123.0,352.0,0.349,706.0,1295.0,0.545,0.541,557.0,725.0,0.768,139.0,595.0,734.0,499.0,155.0,70.0,278.0,192.0,2338.0,,5.0
19,2 seasons,,LAL,NBA,,27.0,27.0,986.0,268.0,496.0,0.54,62.0,167.0,0.371,206.0,329.0,0.626,0.603,122.0,173.0,0.705,35.0,234.0,269.0,232.0,35.0,20.0,109.0,47.0,720.0,,5.0
